Major,Location,Residence,Scholarship,Sex,Type,Type,Enrollment Age,Marital Status,Enrollment Data,Sponsor,Credits Attempted,Credits Completed,Credits Dropped,GPA Current,GPA Average,Number o fSportq,Intermural,Number of Clubes,Expected Graduation Date,Class Of,Actual Graduation Date,comments are well thought out and clearly articulated
Mathematics and Statistics,Maine,Off-Campus University Housing,None,Female,FT,Athlete,19,S,1987,,88,49,24,3.1,3.5,2,1,0,1991,91,1993,
Legal Professions and Studies,New Jersey,Off-Campus Other,University,Female,FT,Athelete,24,S,1987,,93,82,7,1.6,3.8,1,1,2,1991,91,1994,communicates her ideas clearly
All Majors,Texas,On-Campus University Housing,University,Male,FT,RA,17,M,1995,,42,21,12,3,,3,2,4,1999,99,2000,
English Language and Literature/letters,Alaska,On-Campus Dorm,Private,Female,PT,RA,24,S,1985,,8,3,1,2.9,2,0,2,0,1989,89,1992,
Biological and Biomedical Sciences,Indiana,Off-Campus University Housing,All Scholarship Types,Male,FT,Athelete,24,M,1991,,6,4,1,3.3,3.7,3,2,4,1995,95,1997,
Construction Trades,Mississippi,Off-Campus Other,All Scholarship Types,Female,FT,Non-Athlete,21,S,1989,,43,29,3,3.3,3.1,0,1,4,1993,93,1995,
Construction Trades,Arkansas,Off-Campus Other,All Scholarship Types,Female,FT,Athelete,18,M,1997,,142,2,49,1.2,3.6,3,2,2,2001,1,2004,have no hesitation in recommending
Multi/interdisciplinary Studies,Connecticut,Off-Campus University Housing,None,Female,PT,Non-Athlete,25,M,1996,,135,87,13,,3.8,4,1,4,2000,0,2004,
English Language and Literature/letters,Dist. of Columbia,Commuter,None,Female,PT,RA,19,M,1999,,130,64,15,3.6,3.6,0,1,3,2003,3,2007,
Multi/interdisciplinary Studies,Palau,On-Campus Dorm,None,Male,PT,RA,22,S,2004,,101,84,12,1.3,3.5,1,1,4,2008,8,2011,
"Communication, Journalism, and Related Programs",Wyoming,Off-Campus University Housing,Private,Male,PT,Athelete,23,S,1992,,108,52,40,3.2,3.4,0,2,1,1996,96,1999,self-motivated individual
Undeclared,New Jersey,On-Campus University Housing,All Scholarship Types,Female,PT,Athlete,25,M,1989,,33,18,1,2,3.7,4,2,0,1993,93,1995,Applies themself
"Business, Management, Marketing, and Related Support Services",New York,Off-Campus Other,Private,Female,FT,Non-Athlete,19,M,1988,,110,31,25,2.5,1.1,2,2,3,1992,92,1993,if you have further questions
Engineering Technologies and Engineering-Related Fields,Hawaii,On-Campus University Housing,None,Female,FT,Non-Athlete,25,M,1987,,14,4,1,2.4,0.75,4,1,1,1991,91,1995,
Engineering,New Mexico,On-Campus Dorm,Private,Female,PT,Athelete,22,S,1986,,29,8,16,2.9,3.9,3,1,2,1990,90,1992,is intelligent and ambitious
"Area, Ethnic, Cultural, Gender, and Group Studies",Virginia,On-Campus University Housing,None,Female,FT,RA,19,S,2002,,23,20,3,2.2,2.6,0,1,1,2006,6,2006,
"Foreign Languages, Literatures, and Linguistics",All Locations,Off-Campus Other,University,Female,FT,Athelete,18,S,1999,,15,1,2,2.1,3.6,0,2,3,2003,3,2007,broad range of skills
All Majors,Arizona,Commuter,All Scholarship Types,Female,PT,Athelete,21,S,2004,,15,11,2,1.4,3.4,2,1,4,2008,8,2008,
Engineering Technologies and Engineering-Related Fields,North Carolina,Commuter,Private,Female,FT,Non-Athlete,17,S,1998,,90,42,18,1.2,1.1,0,1,2,2002,2,2005,
All Majors,Montana,Commuter,All Scholarship Types,Female,FT,Athelete,18,M,2004,,32,31,1,2.2,3.4,4,2,4,2008,8,2008,
Computer and Information Sciences and Support Services,Florida,Off-Campus Other,All Scholarship Types,Female,FT,Athlete,25,M,1997,,133,128,4,1.2,1.2,3,1,2,2001,1,2001,
Multi/interdisciplinary Studies,All Locations,Commuter,University,Male,PT,Athelete,24,S,1987,,95,9,20,1.4,3.7,0,1,0,1991,91,1993,careful attention to detail
Human Services,Massachusetts,Off-Campus Other,Other,Female,PT,Athelete,23,M,2001,,18,5,6,1.1,3.6,3,2,2,2005,5,2005,communicates her ideas clearly
"Foreign Languages, Literatures, and Linguistics",Missouri,Off-Campus University Housing,All Scholarship Types,Male,FT,Athelete,18,S,2000,,27,18,8,2.8,3.6,3,1,4,2004,4,2005,
"Agriculture, Agriculture Operations, and Related Sciences",Kentucky,Commuter,Other,Male,PT,Athlete,18,M,1994,,121,104,4,1.2,1.5,4,1,2,1998,98,2001,
Liberal Arts and Sciences Studies and Humanities,Texas,On-Campus University Housing,Other,Male,FT,Non-Athlete,23,S,2004,,33,8,5,2.8,3.1,2,2,0,2008,8,2012,hope this information proves helpful
Mechanic and Repair Technologies/technicians,North Dakota,Commuter,All Scholarship Types,Female,FT,Athlete,22,S,2004,,12,2,9,3.3,3.5,4,1,1,2008,8,2011,
Aviation,Maine,On-Campus University Housing,Private,Female,FT,Athlete,21,S,1987,,62,43,10,2.1,3.1,3,2,1,1991,91,1995,
"Agriculture, Agriculture Operations, and Related Sciences",Massachusetts,Off-Campus University Housing,Private,Male,FT,RA,17,S,1996,,39,14,11,1.7,3.4,0,1,0,2000,0,2004,
Computer and Information Sciences and Support Services,Arkansas,On-Campus Dorm,None,Male,PT,Non-Athlete,23,S,2005,,48,40,6,2.8,2.5,1,2,0,2009,9,2009,writes sentence or paragraph
Computer and Information Sciences and Support Services,American,On-Campus University Housing,University,Female,PT,RA,21,M,1985,,23,22,0,2.2,1.6,3,2,1,1989,89,1990,
Computer and Information Sciences and Support Services,Connecticut,On-Campus Dorm,Private,Male,FT,Non-Athlete,19,S,1985,,25,2,5,1.4,2.5,3,1,2,1989,89,1992,"one of our finest, most well-rounded undergraduates"
Human Services,Puerto Rico,Off-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,25,M,2000,,124,76,37,2.4,3.6,1,2,0,2004,4,2008,
Health Professions and Related Programs,California,Off-Campus University Housing,None,Male,FT,Athelete,23,M,1992,,85,64,1,3.6,3.3,0,2,0,1996,96,2000,careful attention to detail
All Majors,North Dakota,Off-Campus University Housing,None,Female,FT,Athlete,25,M,1987,,52,29,20,1.4,3.1,0,1,2,1991,91,1992,
Communications Technologies/technicians and Support Services,Nevada,On-Campus Dorm,Other,Female,FT,RA,24,S,1986,,123,41,7,3.9,2.5,2,1,2,1990,90,1991,first became acquainted with
"Agriculture, Agriculture Operations, and Related Sciences",Maryland,Off-Campus Other,Private,Male,PT,RA,20,S,2003,,39,31,2,3.4,1.6,0,1,4,2007,7,2007,
Undeclared,Iowa,Off-Campus Other,All Scholarship Types,Female,FT,Athelete,20,M,1986,,80,74,5,4,3.8,4,2,4,1990,90,1994,
Construction Trades,Northern Marianas,Off-Campus University Housing,None,Male,PT,Athlete,17,M,2005,,102,54,31,1.4,2.6,2,2,3,2009,9,2010,
"Agriculture, Agriculture Operations, and Related Sciences",Nebraska,On-Campus Dorm,All Scholarship Types,Male,PT,Athelete,25,S,1986,,89,75,4,1.5,3.7,3,1,4,1990,90,1990,
Construction Trades,Vermont,On-Campus Dorm,None,Male,PT,Athlete,23,M,1990,,105,38,6,2.6,2.4,0,1,4,1994,94,1997,
Mechanic and Repair Technologies/technicians,Connecticut,Commuter,Private,Male,PT,RA,21,M,1998,,138,91,22,2,1.6,4,2,4,2002,2,2003,is personable and easy to work with
"Agriculture, Agriculture Operations, and Related Sciences",Tennessee,On-Campus University Housing,All Scholarship Types,Female,FT,Athelete,23,S,1986,,19,0,6,1.5,3.9,2,2,3,1990,90,1994,outstanding leadership abilities
History,Arizona,Off-Campus Other,Other,Male,PT,Non-Athlete,18,M,1988,,5,5,0,2.7,3.9,0,1,0,1992,92,1992,if you need additional information
Family and Consumer Sciences/human Sciences,Alaska,Commuter,Private,Female,FT,Athelete,21,S,1996,,122,82,30,3.4,,1,1,3,2000,0,2002,writes sentence or paragraph
Multi/interdisciplinary Studies,Colorado,On-Campus University Housing,Private,Male,PT,Athelete,24,M,1995,,77,16,57,1.4,3.3,2,1,3,1999,99,2003,communicates her ideas clearly
Engineering Technologies and Engineering-Related Fields,Pennsylvania,Commuter,All Scholarship Types,Female,FT,Athlete,18,S,1993,,89,18,25,2.8,3.3,4,1,2,1997,97,1999,has a take-charge personality
Liberal Arts and Sciences Studies and Humanities,Maine,Commuter,None,Male,FT,Non-Athlete,17,M,1988,,149,53,22,2.5,2.2,0,2,0,1992,92,1992,Health issues
"Foreign Languages, Literatures, and Linguistics",Nevada,Commuter,All Scholarship Types,Female,PT,Athlete,20,M,1985,,135,52,11,2.5,2.6,1,2,4,1989,89,1991,am pleased to comment on
"Business, Management, Marketing, and Related Support Services",New York,Commuter,None,Male,FT,Athelete,17,M,1988,,85,6,32,1.5,3.8,2,2,1,1992,92,1993,am honored to support him as a student
"Area, Ethnic, Cultural, Gender, and Group Studies",Alabama,Off-Campus Other,University,Female,FT,Athelete,20,S,1995,,80,3,23,1.9,3.7,0,1,0,1999,99,2003,recommend without reservation
Education,Alabama,Commuter,Other,Female,PT,Non-Athlete,24,S,1990,,147,134,7,3,1.3,2,1,2,1994,94,1995,
Mathematics and Statistics,Massachusetts,Off-Campus Other,None,Female,PT,Non-Athlete,24,M,2002,,111,10,2,2,3.4,1,1,1,2006,6,2010,
Construction Trades,Maine,Commuter,None,Male,PT,RA,22,M,2000,,65,54,2,2,2.8,4,2,1,2004,4,2007,willing to take on new responsibilities
Biological and Biomedical Sciences,California,Off-Campus University Housing,Other,Female,FT,Non-Athlete,20,S,1987,,115,86,12,2.1,1.2,4,2,0,1991,91,1995,should you have any questions
"Business, Management, Marketing, and Related Support Services",Minnesota,Off-Campus Other,Private,Male,FT,RA,19,S,2001,,82,37,6,1.4,2.2,1,1,3,2005,5,2008,is innovative and creative
Legal Professions and Studies,Maine,Off-Campus University Housing,Private,Male,PT,Non-Athlete,18,M,1997,,30,19,3,3.9,2.5,2,1,2,2001,1,2003,
Family and Consumer Sciences/human Sciences,Arkansas,Off-Campus University Housing,Private,Male,FT,Athlete,17,M,1992,,146,14,36,2.8,2.2,2,2,4,1996,96,1996,outstanding leadership abilities
"Communication, Journalism, and Related Programs",North Dakota,Off-Campus University Housing,Private,Female,FT,Athelete,24,M,1999,,58,41,6,1,3.8,4,1,0,2003,3,2007,
"Business, Management, Marketing, and Related Support Services",New Jersey,On-Campus Dorm,None,Female,FT,Athlete,18,M,2000,,55,17,31,2.4,2.4,2,1,2,2004,4,2006,
"Business, Management, Marketing, and Related Support Services",Nebraska,Off-Campus Other,University,Male,FT,RA,23,M,1990,,40,17,10,1,1.2,0,1,0,1994,94,1994,if you need additional information
"Communication, Journalism, and Related Programs",California,On-Campus University Housing,None,Male,PT,Non-Athlete,20,S,2001,,59,13,13,2,3.6,0,2,4,2005,5,2005,
"Business, Management, Marketing, and Related Support Services",Wisconsin,On-Campus University Housing,Other,Male,FT,Athlete,23,S,1993,,37,16,6,1,,3,1,2,1997,97,2000,works independently and effectively
Education,American,Commuter,Other,Male,FT,Non-Athlete,20,M,1994,,144,33,1,3.3,3.1,2,1,3,1998,98,2000,her sensitivity and concern for others
"Agriculture, Agriculture Operations, and Related Sciences",Mississippi,Off-Campus University Housing,None,Male,PT,Athelete,24,M,1996,,58,51,3,3.5,3.1,0,2,0,2000,0,2003,
"Foreign Languages, Literatures, and Linguistics",Colorado,Off-Campus University Housing,None,Female,FT,Athlete,20,M,2000,,24,8,7,2.5,3.2,1,1,2,2004,4,2005,has always proved satisfactory
Health Professions and Related Programs,Massachusetts,Commuter,University,Female,PT,Athelete,23,S,1995,,34,14,11,1.9,3.4,4,1,2,1999,99,2000,is a pleasure to recommend
Health Professions and Related Programs,Massachusetts,Off-Campus Other,Private,Male,FT,Athelete,21,S,1994,,95,81,7,3.8,4,2,1,1,1998,98,1998,
"Communication, Journalism, and Related Programs",Guam,Off-Campus Other,None,Female,FT,Non-Athlete,23,S,1996,,125,57,57,3.4,3,1,1,4,2000,0,2001,
Education,Delaware,Off-Campus University Housing,University,Female,PT,Non-Athlete,20,S,1987,,110,109,0,1,2.4,1,1,0,1991,91,1993,
Biological and Biomedical Sciences,Oklahoma,Off-Campus University Housing,Private,Male,FT,Non-Athlete,17,M,1987,,145,9,15,3.3,3.1,1,2,0,1991,91,1994,
Aviation,Hawaii,On-Campus University Housing,All Scholarship Types,Male,PT,Athelete,21,S,1988,,52,17,22,2.1,4,0,2,3,1992,92,1993,
"Foreign Languages, Literatures, and Linguistics",New Jersey,Commuter,All Scholarship Types,Female,FT,Athelete,18,M,1998,,124,113,4,3.7,3.9,0,2,2,2002,2,2004,
English Language and Literature/letters,Mississippi,On-Campus University Housing,Private,Female,FT,RA,25,M,2003,,34,10,6,3.1,2.4,4,2,2,2007,7,2008,
Construction Trades,Hawaii,On-Campus University Housing,Other,Male,FT,Athlete,23,M,1988,,83,28,21,1,2.5,3,1,1,1992,92,1996,
"Area, Ethnic, Cultural, Gender, and Group Studies",Arkansas,On-Campus Dorm,None,Male,FT,Athlete,20,M,1990,,114,87,9,1,3.1,3,2,4,1994,94,1994,has always proved satisfactory
Computer and Information Sciences and Support Services,Micronesia,Off-Campus Other,All Scholarship Types,Male,PT,Non-Athlete,25,S,2003,,16,3,3,3.1,2.1,0,1,1,2007,7,2010,his qualifications and performance
Family and Consumer Sciences/human Sciences,Tennessee,On-Campus Dorm,None,Male,FT,Non-Athlete,20,M,2004,,111,10,44,1.5,1.3,1,2,4,2008,8,2012,is intelligent and ambitious
Architecture and Related Services,Ohio,On-Campus University Housing,Private,Male,PT,Athelete,17,S,1989,,115,37,36,1.2,3.5,1,1,4,1993,93,1996,
Multi/interdisciplinary Studies,Hawaii,On-Campus Dorm,University,Female,FT,RA,21,S,1987,,125,51,68,3.6,2,1,2,1,1991,91,1995,
Biological and Biomedical Sciences,New Jersey,On-Campus University Housing,All Scholarship Types,Male,PT,Athlete,18,M,1989,,98,96,0,3.6,2.4,3,1,3,1993,93,1993,
"Business, Management, Marketing, and Related Support Services",All Locations,On-Campus Dorm,Private,Female,PT,RA,21,M,1995,,89,54,10,2.1,1.7,4,1,0,1999,99,2001,
Family and Consumer Sciences/human Sciences,New Jersey,Commuter,All Scholarship Types,Female,PT,Athlete,19,M,1991,,35,11,12,2.4,2.1,4,1,4,1995,95,1999,have admiration and respect for
Aviation,American,On-Campus Dorm,All Scholarship Types,Male,FT,RA,22,S,1985,,143,105,33,1.7,3.2,4,2,4,1989,89,1989,
Computer and Information Sciences and Support Services,Dist. of Columbia,On-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,17,S,1985,,101,93,5,4,1.3,0,2,3,1989,89,1991,if you have further questions
Biological and Biomedical Sciences,Indiana,On-Campus Dorm,Private,Female,FT,Non-Athlete,17,M,1990,,24,7,3,1.2,2.9,3,2,1,1994,94,1998,is innovative and creative
"Foreign Languages, Literatures, and Linguistics",Georgia,Off-Campus University Housing,Private,Male,PT,Athelete,22,M,1997,,47,37,1,1.4,3.8,4,2,4,2001,1,2002,
Aviation,All Locations,Off-Campus Other,University,Female,FT,RA,24,M,1992,,127,102,24,1.7,2.8,1,2,4,1996,96,2000,understands/utilizes
Communications Technologies/technicians and Support Services,Kansas,Off-Campus University Housing,None,Female,FT,RA,23,M,1985,,76,27,8,2.3,3.1,3,1,0,1989,89,1989,hope this information proves helpful
History,Alabama,Commuter,University,Female,PT,Athlete,21,S,2004,,20,16,2,2.9,2.5,2,1,4,2008,8,2011,
All Majors,Virgin Islands,Off-Campus Other,Other,Male,FT,RA,20,S,2002,,9,6,2,3.1,1.7,2,1,2,2006,6,2008,
Undeclared,Illinois,Commuter,Other,Male,FT,RA,21,S,1987,,112,46,31,1.4,2.2,3,1,3,1991,91,1992,am pleased to comment on
Communications Technologies/technicians and Support Services,Oklahoma,Commuter,All Scholarship Types,Female,PT,Athelete,19,M,1987,,134,40,14,1.9,4,4,1,2,1991,91,1992,
"Business, Management, Marketing, and Related Support Services",Rhode Island,On-Campus Dorm,Private,Female,PT,Athelete,24,S,2003,,88,32,49,3.9,3.9,2,1,4,2007,7,2011,
Legal Professions and Studies,Alabama,Off-Campus Other,Other,Male,FT,Non-Athlete,19,S,1986,,12,11,1,3.9,1.1,0,2,3,1990,90,1993,
Education,Rhode Island,Commuter,All Scholarship Types,Female,PT,Athlete,22,S,1987,,131,56,6,1.2,2.7,1,2,2,1991,91,1991,
"Foreign Languages, Literatures, and Linguistics",Nevada,Off-Campus University Housing,All Scholarship Types,Female,PT,Athlete,22,S,2003,,36,27,9,3,2.8,0,1,1,2007,7,2007,
Military Technologies and Applied Sciences,Vermont,Off-Campus Other,All Scholarship Types,Male,PT,Athlete,22,S,1999,,134,87,31,,2.8,3,2,1,2003,3,2005,
"Business, Management, Marketing, and Related Support Services",Arizona,Commuter,All Scholarship Types,Female,FT,RA,23,S,1987,,67,59,0,3.1,,2,1,1,1991,91,1991,
"Foreign Languages, Literatures, and Linguistics",New Mexico,On-Campus Dorm,All Scholarship Types,Female,FT,Athelete,18,M,1994,,88,58,2,1,3.5,1,2,3,1998,98,2000,will be successful in any enterprise he undertakes
Multi/interdisciplinary Studies,Marshall Islands,Commuter,None,Male,FT,Non-Athlete,18,M,1994,,42,35,1,3,2.2,2,2,4,1998,98,1998,
Aviation,Tennessee,On-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,24,S,2003,,135,67,43,3.2,2.9,3,2,0,2007,7,2011,
Aviation,Guam,Off-Campus Other,All Scholarship Types,Male,FT,RA,23,M,2005,,63,42,10,1.8,3.6,4,1,4,2009,9,2009,
"Agriculture, Agriculture Operations, and Related Sciences",Louisiana,Off-Campus Other,Private,Female,FT,RA,21,M,2002,,30,20,9,3.9,1.8,1,1,0,2006,6,2007,if you would like more information
Engineering Technologies and Engineering-Related Fields,Oklahoma,Commuter,University,Female,FT,Non-Athlete,21,M,1991,,36,21,11,1,,1,1,2,1995,95,1996,
"Homeland Security, Law Enforcement, Firefighting",Louisiana,On-Campus Dorm,Other,Male,FT,Athelete,24,S,2000,,148,36,91,1.7,3.6,3,2,2,2004,4,2006,
Communications Technologies/technicians and Support Services,Massachusetts,Off-Campus Other,University,Male,FT,Non-Athlete,21,S,1990,,28,27,1,1.7,3.7,1,2,3,1994,94,1997,can offer only the highest recommendation for
History,Hawaii,Commuter,All Scholarship Types,Male,PT,Non-Athlete,19,M,2004,,121,41,62,3.7,3.3,0,1,2,2008,8,2009,has worked directly under my supervision
"Foreign Languages, Literatures, and Linguistics",Nebraska,Commuter,All Scholarship Types,Female,FT,Athlete,18,S,1999,,44,43,1,0.75,1.6,1,2,3,2003,3,2004,keeps calm under pressure
Biological and Biomedical Sciences,Rhode Island,On-Campus University Housing,University,Male,FT,Athlete,22,S,1993,,149,23,17,2.9,2.6,0,2,3,1997,97,1998,would be an asset to your program
Military Technologies and Applied Sciences,North Dakota,On-Campus Dorm,All Scholarship Types,Male,FT,Non-Athlete,18,M,1988,,124,44,46,2.4,1.6,0,1,0,1992,92,1993,wide-range knowledge of
Computer and Information Sciences and Support Services,Utah,Commuter,Private,Male,FT,Athelete,23,S,2001,,128,87,10,2,,0,1,2,2005,5,2006,
Military Technologies and Applied Sciences,Delaware,Commuter,None,Female,PT,Non-Athlete,25,M,2005,,89,44,19,2.2,3.4,2,1,3,2009,9,2011,
Multi/interdisciplinary Studies,South Carolina,On-Campus Dorm,All Scholarship Types,Male,PT,Non-Athlete,18,M,2001,,33,33,0,1.4,,2,2,1,2005,5,2006,
"Homeland Security, Law Enforcement, Firefighting",Wyoming,Off-Campus University Housing,All Scholarship Types,Female,FT,RA,17,M,1987,,126,57,55,3.7,2.1,1,1,4,1991,91,1995,
Military Technologies and Applied Sciences,New Mexico,Commuter,Other,Female,FT,Non-Athlete,19,S,1994,,112,37,60,3.3,3.9,1,1,4,1998,98,2002,would be a valuable addition to any organization
History,Missouri,Commuter,None,Female,PT,Athelete,24,S,1998,,53,45,3,2.7,3.6,4,1,1,2002,2,2005,
Engineering,Marshall Islands,On-Campus Dorm,None,Male,FT,Athlete,25,M,2002,,84,23,50,3.7,2.7,0,2,1,2006,6,2008,
Library Science,Micronesia,Off-Campus University Housing,Private,Female,PT,RA,17,M,1991,,92,30,38,,1.7,2,2,3,1995,95,1996,
History,Marshall Islands,Off-Campus University Housing,None,Female,PT,Non-Athlete,20,S,2001,,98,73,6,1.5,3.5,0,2,3,2005,5,2008,
Military Technologies and Applied Sciences,Virgin Islands,On-Campus Dorm,University,Female,FT,Athelete,25,M,2001,,46,0,28,1.2,3.4,2,1,2,2005,5,2005,in the past two years
Library Science,Rhode Island,Off-Campus Other,University,Female,FT,Athelete,17,M,2004,,58,14,40,1.6,4,0,2,1,2008,8,2012,give my unqualified recommendation
"Agriculture, Agriculture Operations, and Related Sciences",Texas,On-Campus University Housing,None,Male,PT,Non-Athlete,24,S,1992,,122,105,15,1.8,1.9,2,1,1,1996,96,1998,is intelligent and ambitious
Aviation,Virginia,Off-Campus University Housing,Private,Male,FT,Athlete,21,M,1987,,36,4,21,3,2.2,2,1,0,1991,91,1991,
Health Professions and Related Programs,Missouri,On-Campus University Housing,None,Female,PT,Athlete,24,S,2004,,69,5,30,1.7,1,1,1,0,2008,8,2009,has been a pleasure to supervise
Computer and Information Sciences and Support Services,Indiana,Commuter,Private,Male,FT,Athelete,25,M,2002,,29,22,1,1.5,,0,1,1,2006,6,2008,
Undeclared,Virgin Islands,Commuter,Other,Male,FT,Athlete,25,M,1993,,140,12,118,3.9,2.3,2,2,1,1997,97,1998,is intelligent and ambitious
Liberal Arts and Sciences Studies and Humanities,Rhode Island,Off-Campus Other,Other,Female,FT,Non-Athlete,23,S,1988,,147,97,42,2.2,,0,2,2,1992,92,1992,
Mechanic and Repair Technologies/technicians,Micronesia,Commuter,None,Male,FT,Athelete,22,S,2001,,120,61,1,3,3.8,3,2,3,2005,5,2008,
Mathematics and Statistics,Maine,On-Campus University Housing,Other,Male,FT,Non-Athlete,24,S,2005,,126,96,7,1.4,1.6,3,1,2,2009,9,2011,self-motivated individual
"Agriculture, Agriculture Operations, and Related Sciences",Dist. of Columbia,On-Campus University Housing,None,Male,PT,RA,17,S,1995,,141,65,7,2.4,3.9,0,2,0,1999,99,2003,
Computer and Information Sciences and Support Services,Mississippi,Off-Campus University Housing,All Scholarship Types,Male,FT,Non-Athlete,19,M,1986,,43,30,3,3.4,2.2,1,2,2,1990,90,1993,
Military Technologies and Applied Sciences,New Jersey,Off-Campus University Housing,All Scholarship Types,Female,PT,RA,23,M,1997,,44,43,0,3.8,2.4,4,2,3,2001,1,2002,
Library Science,Iowa,Off-Campus University Housing,All Scholarship Types,Male,FT,RA,20,S,1986,,4,2,1,2,0.75,2,1,4,1990,90,1994,
Computer and Information Sciences and Support Services,Puerto Rico,Off-Campus University Housing,University,Female,FT,Non-Athlete,25,S,2003,,148,49,24,1.6,1.8,4,1,4,2007,7,2011,is a tireless worker
Communications Technologies/technicians and Support Services,Montana,Off-Campus University Housing,University,Female,PT,RA,19,S,1999,,33,22,5,1.3,1.3,0,1,1,2003,3,2005,broad range of skills
Architecture and Related Services,Texas,Commuter,Private,Female,FT,Athelete,17,M,1990,,16,16,0,3.2,3.4,0,1,2,1994,94,1996,punctual and hard working
Education,Oregon,On-Campus Dorm,University,Female,FT,Athlete,23,M,1994,,117,9,69,2,3.5,1,1,2,1998,98,1999,
Construction Trades,Micronesia,On-Campus University Housing,All Scholarship Types,Female,FT,Athelete,20,M,1985,,15,10,4,0.75,3.8,0,1,2,1989,89,1991,
Mechanic and Repair Technologies/technicians,Massachusetts,Off-Campus Other,Private,Female,PT,Athelete,18,S,2002,,122,67,28,2.3,3.5,0,1,3,2006,6,2006,
Mathematics and Statistics,South Carolina,On-Campus Dorm,Other,Female,FT,Non-Athlete,22,S,2004,,29,10,17,1.1,2.5,1,1,3,2008,8,2011,Demonstraates leadership
"Area, Ethnic, Cultural, Gender, and Group Studies",Maryland,Off-Campus University Housing,None,Female,PT,Athlete,19,S,1996,,121,62,43,3.5,3.1,1,1,0,2000,0,2002,
Communications Technologies/technicians and Support Services,New Hampshire,On-Campus Dorm,Private,Female,FT,RA,25,S,1998,,99,78,21,3.9,2.5,2,2,4,2002,2,2004,
English Language and Literature/letters,Maryland,On-Campus Dorm,All Scholarship Types,Male,FT,Athelete,18,M,2005,,116,29,46,3.6,3.5,3,2,3,2009,9,2009,
Family and Consumer Sciences/human Sciences,Georgia,Off-Campus University Housing,University,Female,FT,RA,25,S,1990,,141,115,19,3.8,3.6,3,2,1,1994,94,1995,if you have further questions
