Run Date,Drop Location,Pickup Location,Primary Destinatiion,Secondary Destination,Vehicle Type,Event Type,Overnight,Tip Grade,Customer Type,Guide,Trip Issues,Payment Type
2/24/2013,Saint Paul Cme Church,Saint Paul Cme Church,Private Residence,None,Church Bus,Holiday,Yes,Small,Referral,No,None,Check
8/15/2015,Erie,Erie,The National Civil War Museum,Erie,Propane/Alternative,Wedding,No,None,Referral,Yes,Health Related,Personal Credit Card
1/24/2013,Altoona,Altoona,King of Prussia Shopping Mall,Altoona,Limo Bus,Corporate,No,None,New,Yes,Personal,Cash
2/23/2015,Franklin,Franklin,Kennywood Park,Franklin,Wheelchair Bus,Tour,No,Large,New,Yes,Health Related,Invoiced
8/7/2013,Bradford,Bradford,Dutch Wonderland,Bradford,Limo Bus,Tour,No,Medium,Referral,Yes,None,Invoiced
4/17/2014,Lancaster,Lancaster,Pennsylvania State Capitol,None,Town Car,Travel/Airport,Yes,None,New,No,Maintenance,Credit
6/7/2013,Beaver Falls,Beaver Falls,Dutch Wonderland,None,Limo,Wedding,Yes,Large,Referral,Yes,None,Invoiced
7/24/2014,Lower Burrell,Lower Burrell,Fairmount Park,Lower Burrell,Shuttle Bus,Anniversay,No,Small,New,Yes,Health Related,Invoiced
4/21/2014,Meadville,Meadville,Please Touch Museum,Meadville,Limo Bus,Private,No,Small,New,No,Health Related,Personal Credit Card
6/14/2015,St Lukes Christian Community,St Lukes Christian Community,Private Residence,None,Church Bus,Wedding,Yes,Large,Existing,Yes,None,Check
4/19/2013,Beaver Falls,Beaver Falls,Gettysburg National Military Park,None,Van - Mini,College,Yes,Small,Existing,No,Maintenance,Other
7/2/2014,McKeesport,McKeesport,Lost River Caverns,None,Shuttle Bus,Corporate,Yes,Large,New,No,Maintenance,Personal Credit Card
5/9/2013,"West Chester East High School, West Chester (West Goshen Twp.)","West Chester East High School, West Chester (West Goshen Twp.)","West Chester East High School, West Chester (West Goshen Twp.)",Arnold,School Bus,Tour,No,Small,Referral,Yes,Accident,Other
1/19/2015,Bradford,Bradford,Philadelphia Zoo,Bradford,Wheelchair Bus,Travel/Airport,No,Small,New,No,Health Related,Cash
2/16/2013,Lower Burrell,Lower Burrell,Waldameer & Water World,Lower Burrell,Van - Mini,Athletic,No,Small,Referral,No,Accident,Invoiced
1/24/2014,Hermitage,Hermitage,City Hall,Hermitage,Van - Mini,Corporate,No,Large,Referral,No,Personal,Invoiced
11/26/2015,Meadville,Meadville,City Hall,None,Limo,Corporate,Yes,Large,Existing,No,Maintenance,Invoiced
8/7/2014,Lock Haven,Lock Haven,Crystal Cave Park,Lock Haven,Van - Full Size,Athletic,No,Medium,Referral,No,Personal,Personal Credit Card
4/24/2013,Clairton,Clairton,Lost River Caverns,None,Limo Bus,Athletic,Yes,None,Referral,Yes,Accident,Invoiced
4/24/2015,Saint Nicholas Russian Orthodox Church,Saint Nicholas Russian Orthodox Church,Private Residence,None,Church Bus,Travel/Airport,Yes,Medium,New,Yes,None,Check
6/22/2013,"Downingtown STEM Academy, Downingtown","Downingtown STEM Academy, Downingtown","Downingtown STEM Academy, Downingtown",Meadville,School Bus,Anniversay,No,Large,New,No,None,Other
8/9/2013,Greensburg,Greensburg,Lost River Caverns,None,Wheelchair Bus,Corporate,Yes,Large,Existing,No,Health Related,Cash
10/23/2013,Monongahela,Monongahela,Knoebels Amusement Resort,Monongahela,Mini Bus,Funeral,No,None,Referral,Yes,Accident,Credit
7/8/2015,Johnstown,Johnstown,Kennywood Park,None,Town Car,Athletic,Yes,None,Referral,No,Health Related,Invoiced
1/19/2014,Eternal Hope of Glory,Eternal Hope of Glory,Private Residence,Lebanon,Church Bus,Wedding,No,Large,Existing,No,None,Check
2/13/2014,Meadville,Meadville,Waldameer & Water World,Meadville,Shuttle Bus,Tour,No,Medium,Referral,Yes,Accident,Credit
6/3/2013,Beaver Falls,Beaver Falls,HersThe Liberty Bell Centerheypark,None,Van - Full Size,Anniversay,Yes,Large,New,Yes,Maintenance,Cash
4/28/2014,Love of God Ministries Ch,Love of God Ministries Ch,Private Residence,None,Church Bus,Corporate,Yes,Small,Existing,Yes,None,Check
9/8/2015,Altoona,Altoona,Waldameer & Water World,Altoona,Limo,Wedding,No,Large,Existing,No,None,Invoiced
8/7/2013,Harrisburg,Harrisburg,Knoebels Amusement Resort,None,Van - Full Size,Wedding,Yes,None,Existing,Yes,Personal,Cash
6/6/2013,Monongahela,Monongahela,Sesame Place,Monongahela,Mini Bus,Anniversay,No,Small,Referral,Yes,Health Related,Credit
2/2/2015,Lower Burrell,Lower Burrell,The Franklin Institute,None,Limo Bus,Wedding,Yes,Medium,Existing,No,Personal,Cash
4/12/2015,Altoona,Altoona,Lost River Caverns,Altoona,Wheelchair Bus,Anniversay,No,Medium,Referral,Yes,Personal,Credit
1/32/2014,"Center for Arts and Technology: Pickering, Phoenixville","Center for Arts and Technology: Pickering, Phoenixville","Center for Arts and Technology: Pickering, Phoenixville",None,School Bus,Anniversay,Yes,Large,Existing,No,None,Other
11/4/2014,Duquesne,Duquesne,King of Prussia Shopping Mall,None,Shuttle Bus,Athletic,Yes,Medium,Existing,Yes,Accident,Cash
7/21/2015,Allentown,Allentown,Kennywood Park,Allentown,Mini Bus,Corporate,No,Large,Existing,Yes,None,Credit
9/31/2014,Carbondale,Carbondale,Please Touch Museum,None,Mini Bus,Wedding,Yes,Medium,Referral,No,Personal,Credit
7/7/2013,Beaver Falls,Beaver Falls,Brandywine River Museum,Beaver Falls,Van - Mini,Travel/Airport,No,None,New,Yes,Maintenance,Personal Credit Card
3/4/2013,Nanticoke,Nanticoke,HersThe Liberty Bell Centerheypark,None,Van - Mini,Tour,Yes,None,New,Yes,Health Related,Other
12/5/2013,Meadville,Meadville,King of Prussia Shopping Mall,None,Van - Mini,Birthday,Yes,Large,Existing,No,Accident,Invoiced
4/6/2014,Coatesville,Coatesville,Gettysburg National Military Park,None,Wheelchair Bus,Athletic,Yes,None,Referral,No,Health Related,Credit
2/17/2015,Lock Haven,Lock Haven,Pennsylvania State Capitol,None,Town Car,Funeral,Yes,Medium,New,Yes,Personal,Cash
11/31/2013,Coatesville,Coatesville,City Hall,Coatesville,Mini Bus,Wedding,No,Large,Referral,No,Health Related,Cash
11/18/2015,Greensburg,Greensburg,Brandywine River Museum,Greensburg,Town Car,Private,No,Small,Existing,Yes,Health Related,Cash
3/27/2014,Duquesne,Duquesne,Fairmount Park,None,Limo,Private,Yes,Large,New,Yes,None,Invoiced
5/28/2014,Monongahela,Monongahela,Brandywine River Museum,Monongahela,Van - Full Size,Athletic,No,None,New,Yes,Personal,Credit
4/1/2013,Meadville,Meadville,Fairmount Park,Meadville,Wheelchair Bus,Private,No,None,Existing,No,None,Cash
10/9/2015,Meadville,Meadville,City Hall,Meadville,Limo Bus,Tour,No,Medium,Existing,Yes,Maintenance,Invoiced
6/22/2015,New Life Ministries,New Life Ministries,Private Residence,Hermitage,Church Bus,Birthday,No,Large,Existing,No,None,Check
3/7/2013,Lower Burrell,Lower Burrell,Carnegie Museum of Natural History,Lower Burrell,Town Car,Corporate,No,Small,New,No,Personal,Cash
2/1/2013,Aliquippa,Aliquippa,Philadelphia Museum of Art,Aliquippa,Limo,Tour,No,Large,New,Yes,Maintenance,Invoiced
4/26/2015,Corry,Corry,Gettysburg National Military Park,None,Van - Mini,Private,Yes,Medium,Existing,No,Accident,Cash
8/19/2015,Monessen,Monessen,The Franklin Institute,Monessen,Propane/Alternative,Wedding,No,Large,Referral,Yes,Accident,Credit
5/10/2013,Altoona,Altoona,Crystal Cave Park,Altoona,Limo,Wedding,No,Large,New,No,Health Related,Invoiced
9/26/2013,Butler,Butler,City Hall,Butler,Mini Bus,Anniversay,No,Large,New,No,Personal,Invoiced
2/25/2013,Bethlehem,Bethlehem,HersThe Liberty Bell Centerheypark,None,Shuttle Bus,Wedding,Yes,Large,New,Yes,None,Credit
10/19/2013,Nanticoke,Nanticoke,Waldameer & Water World,Nanticoke,Limo Bus,Corporate,No,Medium,Referral,Yes,Maintenance,Personal Credit Card
1/3/2013,Jeannette,Jeannette,Knoebels Amusement Resort,Jeannette,Wheelchair Bus,College,No,Small,Existing,No,Health Related,Credit
10/17/2014,Aliquippa,Aliquippa,Dorney Park,None,Limo Bus,College,Yes,Small,Referral,Yes,Accident,Invoiced
10/12/2015,Hermitage,Hermitage,Kennywood Park,Hermitage,Mini Bus,Tour,No,None,Existing,Yes,None,Personal Credit Card
12/3/2013,Johnstown,Johnstown,Betsy Ross House,Johnstown,Propane/Alternative,Private,No,Large,Existing,No,None,Credit
11/31/2013,Jeannette,Jeannette,Knoebels Amusement Resort,Jeannette,Wheelchair Bus,Anniversay,No,None,Referral,Yes,None,Credit
1/12/2015,Latrobe,Latrobe,Waldameer & Water World,None,Town Car,Anniversay,Yes,Medium,Referral,Yes,Maintenance,Personal Credit Card
7/27/2014,Altoona,Altoona,Dorney Park,None,Van - Full Size,Travel/Airport,Yes,Large,Referral,No,Maintenance,Cash
4/11/2014,Monessen,Monessen,Carnegie Museum of Natural History,Monessen,Wheelchair Bus,Corporate,No,Medium,Existing,No,Personal,Personal Credit Card
7/10/2015,Butler,Butler,Sesame Place,Butler,Mini Bus,Funeral,No,Large,New,No,Personal,Invoiced
9/13/2013,Bradford,Bradford,City Hall,Bradford,Limo Bus,Tour,No,Medium,Existing,Yes,Maintenance,Invoiced
9/2/2014,Arnold,Arnold,City Hall,Arnold,Shuttle Bus,Funeral,No,None,Existing,Yes,Personal,Invoiced
6/7/2015,Hermitage,Hermitage,Philadelphia Museum of Art,None,Town Car,Private,Yes,Small,Referral,No,Accident,Other
2/20/2013,Monongahela,Monongahela,Please Touch Museum,None,Propane/Alternative,Funeral,Yes,Medium,Referral,No,Health Related,Invoiced
9/1/2014,Franklin,Franklin,Gettysburg National Military Park,Franklin,Town Car,Travel/Airport,No,None,Referral,Yes,Health Related,Invoiced
2/21/2015,Farrell,Farrell,Brandywine River Museum,Farrell,Limo Bus,Travel/Airport,No,Small,Existing,No,Maintenance,Personal Credit Card
10/10/2013,Meadville,Meadville,HersThe Liberty Bell Centerheypark,None,Mini Bus,Corporate,Yes,Small,New,Yes,None,Invoiced
4/24/2015,Chester,Chester,Crystal Cave Park,None,Van - Full Size,Anniversay,Yes,None,Existing,Yes,Health Related,Other
5/26/2014,Latrobe,Latrobe,Pennsylvania State Capitol,Latrobe,Mini Bus,Athletic,No,None,Referral,Yes,None,Other
8/1/2013,Lower Burrell,Lower Burrell,Carnegie Museum of Natural History,None,Shuttle Bus,Corporate,Yes,Large,New,Yes,Personal,Personal Credit Card
11/5/2014,Lebanon,Lebanon,Independence Hall,None,Town Car,Tour,Yes,Medium,Referral,Yes,Accident,Personal Credit Card
7/14/2013,Lower Burrell,Lower Burrell,Gettysburg National Military Park,Lower Burrell,Mini Bus,Anniversay,No,Large,Existing,No,Maintenance,Credit
6/8/2013,Arnold,Arnold,Independence Hall,None,Van - Mini,Tour,Yes,None,Existing,Yes,Accident,Other
1/15/2015,Easton,Easton,HersThe Liberty Bell Centerheypark,None,Limo,College,Yes,Large,Referral,Yes,Accident,Invoiced
2/12/2014,Love of God Ministries Ch,Love of God Ministries Ch,Private Residence,Franklin,Church Bus,College,No,Small,New,Yes,None,Check
3/12/2015,Lock Haven,Lock Haven,Please Touch Museum,None,Van - Full Size,Anniversay,Yes,None,New,Yes,Health Related,Personal Credit Card
6/16/2015,Monongahela,Monongahela,Fairmount Park,None,Wheelchair Bus,Wedding,Yes,Small,Referral,Yes,Health Related,Invoiced
3/15/2013,Meadville,Meadville,Sesame Place,Meadville,Propane/Alternative,Holiday,No,Medium,Referral,No,Health Related,Credit
11/28/2013,"Avon Grove High School, West Grove","Avon Grove High School, West Grove","Avon Grove High School, West Grove",Aliquippa,School Bus,Tour,No,None,Existing,Yes,Maintenance,Other
3/18/2013,Saint John's Church,Saint John's Church,Private Residence,Butler,Church Bus,Private,No,Large,Existing,No,None,Check
7/17/2015,Corry,Corry,Kennywood Park,None,Limo Bus,Private,Yes,None,Existing,Yes,None,Credit
3/14/2015,True Vine Missionary Full Gospel Church,True Vine Missionary Full Gospel Church,Private Residence,Northampton,Church Bus,Corporate,No,Medium,Referral,Yes,None,Check
5/16/2014,Coatesville,Coatesville,Carnegie Museum of Natural History,None,Shuttle Bus,Private,Yes,Small,Existing,No,Accident,Cash
3/20/2014,Butler,Butler,Independence Hall,None,Town Car,Funeral,Yes,None,Referral,No,Personal,Invoiced
6/2/2013,Bethlehem,Bethlehem,The Barnes Foundation,None,Mini Bus,Athletic,Yes,Large,New,Yes,Health Related,Personal Credit Card
6/20/2015,Meadville,Meadville,The National Civil War Museum,Meadville,Town Car,Corporate,No,Large,Referral,Yes,Personal,Other
7/24/2015,Chester,Chester,Pennsylvania State Capitol,None,Town Car,Private,Yes,Medium,Referral,No,Accident,Invoiced
11/15/2014,Butler,Butler,Pennsylvania State Capitol,Butler,Van - Full Size,Travel/Airport,No,Medium,Existing,No,Maintenance,Other
8/23/2015,Holy Ghost Parish,Holy Ghost Parish,Private Residence,None,Church Bus,Holiday,Yes,Large,Existing,Yes,None,Check
3/30/2015,Lebanon,Lebanon,Carnegie Museum of Natural History,None,Van - Mini,Anniversay,Yes,Medium,Existing,Yes,Personal,Invoiced
12/29/2013,Franklin,Franklin,Dutch Wonderland,None,Limo Bus,Athletic,Yes,Small,Existing,Yes,None,Personal Credit Card
1/12/2013,Farrell,Farrell,Philadelphia Zoo,None,Mini Bus,College,Yes,None,Referral,Yes,Accident,Personal Credit Card
3/6/2014,Lancaster,Lancaster,Dorney Park,Lancaster,Limo,Tour,No,Large,New,Yes,Maintenance,Invoiced
4/22/2013,Chester,Chester,Please Touch Museum,Chester,Van - Mini,Funeral,No,None,Referral,Yes,Maintenance,Credit
10/2/2013,Monongahela,Monongahela,Dorney Park,Monongahela,Shuttle Bus,Corporate,No,Large,Existing,No,Maintenance,Cash
3/16/2015,Lock Haven,Lock Haven,Philadelphia Zoo,Lock Haven,Van - Mini,Athletic,No,None,Referral,Yes,Accident,Cash
10/24/2015,Aliquippa,Aliquippa,Philadelphia Zoo,None,Limo Bus,Private,Yes,Large,New,Yes,Accident,Invoiced
2/17/2015,Carbondale,Carbondale,HersThe Liberty Bell Centerheypark,Carbondale,Shuttle Bus,Funeral,No,None,Existing,No,Personal,Cash
11/14/2014,Northampton,Northampton,Philadelphia Zoo,Northampton,Shuttle Bus,Private,No,Small,Referral,Yes,Maintenance,Other
11/12/2015,Meadville,Meadville,Carnegie Museum of Natural History,Meadville,Propane/Alternative,Travel/Airport,No,None,Referral,Yes,Health Related,Credit
10/32/2015,"Downingtown West High School, Downingtown","Downingtown West High School, Downingtown","Downingtown West High School, Downingtown",Allentown,School Bus,Tour,No,Small,Referral,Yes,Personal,Other
6/27/2015,Nativity Lutheran Church,Nativity Lutheran Church,Private Residence,McKeesport,Church Bus,Funeral,No,Small,New,No,None,Check
10/28/2015,First Pentecostal Church,First Pentecostal Church,Private Residence,None,Church Bus,College,Yes,None,New,Yes,None,Check
3/25/2013,Monessen,Monessen,Independence Hall,Monessen,Town Car,Wedding,No,Large,Existing,No,Health Related,Other
12/23/2013,New Hope United Holy Baptist Church,New Hope United Holy Baptist Church,Private Residence,Farrell,Church Bus,College,No,Large,New,No,None,Check
9/20/2013,Jeannette,Jeannette,City Hall,Jeannette,Mini Bus,Private,No,Small,Referral,No,Accident,Cash
1/5/2015,"Woodlynde School, Strafford","Woodlynde School, Strafford","Woodlynde School, Strafford",Northampton,School Bus,Tour,No,None,New,Yes,Accident,Cash
8/12/2014,Lower Burrell,Lower Burrell,Philadelphia Zoo,Lower Burrell,Shuttle Bus,Tour,No,Small,Referral,Yes,Personal,Cash
5/31/2014,Johnstown,Johnstown,King of Prussia Shopping Mall,None,Limo Bus,Anniversay,Yes,Large,Existing,Yes,Accident,Other
10/13/2014,Life In Christ Cathedral Faith,Life In Christ Cathedral Faith,Private Residence,None,Church Bus,Anniversay,Yes,Small,Referral,Yes,None,Check
2/10/2013,Saint Paul Church Of God In Christ,Saint Paul Church Of God In Christ,Private Residence,Erie,Church Bus,Corporate,No,None,New,Yes,None,Check
8/32/2015,Carbondale,Carbondale,HersThe Liberty Bell Centerheypark,None,Van - Full Size,Holiday,Yes,Large,Referral,Yes,None,Personal Credit Card
7/11/2014,Arnold,Arnold,Sesame Place,Arnold,Van - Mini,Holiday,No,Medium,Referral,No,None,Cash
5/21/2014,Meadville,Meadville,Brandywine River Museum,Meadville,Limo,Anniversay,No,Large,New,Yes,Accident,Invoiced
10/28/2014,Bethlehem,Bethlehem,Kennywood Park,Bethlehem,Shuttle Bus,Private,No,Medium,Existing,No,None,Cash
6/3/2013,Jeannette,Jeannette,Dorney Park,None,Limo,Wedding,Yes,Large,Existing,No,None,Invoiced
3/24/2014,Arnold,Arnold,Betsy Ross House,Arnold,Propane/Alternative,Wedding,No,Large,Referral,Yes,Health Related,Other
10/18/2013,Lower Burrell,Lower Burrell,Pennsylvania State Capitol,None,Van - Full Size,Holiday,Yes,None,New,Yes,None,Personal Credit Card
5/27/2014,DuBois,DuBois,Please Touch Museum,DuBois,Limo Bus,College,No,None,New,No,Maintenance,Invoiced
2/22/2015,Beaver Falls,Beaver Falls,Knoebels Amusement Resort,None,Mini Bus,Funeral,Yes,Large,Referral,No,Maintenance,Invoiced
6/11/2013,"Twin Valley High School, Elverson","Twin Valley High School, Elverson","Twin Valley High School, Elverson",None,School Bus,Funeral,Yes,Medium,Referral,Yes,Maintenance,Personal Credit Card
7/14/2015,Carbondale,Carbondale,City Hall,Carbondale,Propane/Alternative,Anniversay,No,Small,New,No,Maintenance,Credit
7/9/2013,Duquesne,Duquesne,King of Prussia Shopping Mall,None,Town Car,Tour,Yes,Small,New,Yes,Accident,Other
7/1/2015,"Villa Maria Academy, Malvern","Villa Maria Academy, Malvern","Villa Maria Academy, Malvern",Lock Haven,School Bus,Private,No,Large,Existing,Yes,Personal,Other
4/22/2013,Butler,Butler,Waldameer & Water World,Butler,Propane/Alternative,Wedding,No,Small,Referral,Yes,Maintenance,Invoiced
5/12/2013,Corry,Corry,The Franklin Institute,None,Shuttle Bus,Anniversay,Yes,Small,New,No,None,Personal Credit Card
8/11/2015,Allentown,Allentown,Betsy Ross House,None,Shuttle Bus,Funeral,Yes,Small,Existing,Yes,Maintenance,Invoiced
4/5/2015,Lancaster,Lancaster,Knoebels Amusement Resort,Lancaster,Limo Bus,Anniversay,No,None,Referral,No,None,Credit
1/24/2015,Bradford,Bradford,Fairmount Park,None,Limo,Corporate,Yes,Large,New,No,Accident,Invoiced
3/8/2013,Arnold,Arnold,The National Civil War Museum,None,Propane/Alternative,Funeral,Yes,Medium,Referral,Yes,None,Personal Credit Card
11/3/2014,Carbondale,Carbondale,Kennywood Park,None,Limo Bus,Birthday,Yes,Medium,Existing,No,Maintenance,Cash
6/30/2015,Lower Burrell,Lower Burrell,Kennywood Park,None,Mini Bus,Wedding,Yes,Medium,Referral,Yes,None,Cash
5/7/2013,Harrisburg,Harrisburg,Dutch Wonderland,Harrisburg,Van - Full Size,Travel/Airport,No,Large,New,Yes,Personal,Personal Credit Card
8/4/2015,Duquesne,Duquesne,Knoebels Amusement Resort,None,Propane/Alternative,Athletic,Yes,Large,New,No,Accident,Personal Credit Card
8/11/2013,Hermitage,Hermitage,Brandywine River Museum,None,Shuttle Bus,Birthday,Yes,Small,Existing,Yes,None,Credit
7/24/2015,Altoona,Altoona,Dorney Park,None,Limo,Private,Yes,Large,Existing,Yes,Personal,Invoiced
11/27/2013,Christian Tabernacle Church,Christian Tabernacle Church,Private Residence,Harrisburg,Church Bus,Holiday,No,Small,Referral,Yes,None,Check
12/20/2013,Bradford,Bradford,Dorney Park,Bradford,Town Car,College,No,Medium,Existing,Yes,Accident,Other
11/14/2013,"Devon Preparatory School, Devon","Devon Preparatory School, Devon","Devon Preparatory School, Devon",Chester,School Bus,Tour,No,Small,Existing,Yes,Personal,Cash
11/26/2015,Hermitage,Hermitage,Independence Hall,None,Van - Mini,Private,Yes,None,Existing,No,Maintenance,Personal Credit Card
2/18/2014,Lancaster,Lancaster,Philadelphia Museum of Art,None,Propane/Alternative,Birthday,Yes,Large,Referral,Yes,None,Personal Credit Card
1/22/2014,Chester,Chester,The Barnes Foundation,None,Van - Mini,Athletic,Yes,Large,New,Yes,Personal,Other
8/29/2013,Monongahela,Monongahela,Betsy Ross House,Monongahela,Wheelchair Bus,Birthday,No,None,New,Yes,None,Personal Credit Card
2/4/2015,"Woodlynde School, Strafford","Woodlynde School, Strafford","Woodlynde School, Strafford",Coatesville,School Bus,Holiday,No,Medium,Referral,No,Accident,Credit
11/5/2015,Arnold,Arnold,Brandywine River Museum,Arnold,Wheelchair Bus,Athletic,No,Large,Existing,No,Maintenance,Other
11/15/2015,Lock Haven,Lock Haven,Philadelphia Zoo,Lock Haven,Propane/Alternative,Funeral,No,Small,Existing,No,Personal,Personal Credit Card
6/23/2013,Altoona,Altoona,Waldameer & Water World,None,Van - Full Size,Tour,Yes,Large,New,Yes,Health Related,Other
8/19/2014,Carbondale,Carbondale,Lost River Caverns,None,Wheelchair Bus,Funeral,Yes,None,Existing,No,Health Related,Personal Credit Card
9/1/2015,Clairton,Clairton,Knoebels Amusement Resort,None,Mini Bus,Wedding,Yes,Small,Existing,Yes,Maintenance,Cash
10/29/2014,Lock Haven,Lock Haven,Sesame Place,Lock Haven,Shuttle Bus,Birthday,No,Small,Referral,Yes,Maintenance,Credit
10/30/2014,Lebanon,Lebanon,Dutch Wonderland,Lebanon,Mini Bus,Birthday,No,None,Referral,Yes,None,Credit
3/3/2013,Coatesville,Coatesville,Sesame Place,None,Propane/Alternative,Holiday,Yes,Small,New,Yes,None,Other
1/23/2014,"Downingtown East High School, Exton","Downingtown East High School, Exton","Downingtown East High School, Exton",None,School Bus,Birthday,Yes,Large,Existing,No,Health Related,Other
7/20/2013,Erie,Erie,Kennywood Park,None,Shuttle Bus,Private,Yes,Small,Existing,Yes,Health Related,Personal Credit Card
11/4/2013,Corry,Corry,Sesame Place,None,Town Car,Athletic,Yes,None,Existing,No,None,Invoiced
9/12/2014,Altoona,Altoona,Knoebels Amusement Resort,None,Shuttle Bus,Travel/Airport,Yes,Small,Existing,No,Accident,Credit
10/6/2014,McKeesport,McKeesport,Waldameer & Water World,None,Propane/Alternative,Travel/Airport,Yes,None,New,Yes,Health Related,Credit
5/2/2013,Corry,Corry,Knoebels Amusement Resort,Corry,Mini Bus,Birthday,No,Medium,Existing,Yes,Health Related,Cash
10/10/2013,Aliquippa,Aliquippa,King of Prussia Shopping Mall,Aliquippa,Wheelchair Bus,Birthday,No,Medium,Referral,No,Personal,Other
1/28/2015,Butler,Butler,Eastern State Penitentiary,Butler,Limo,Birthday,No,Large,Referral,Yes,Health Related,Invoiced
1/4/2015,Arnold,Arnold,Waldameer & Water World,Arnold,Mini Bus,Corporate,No,Small,Existing,Yes,None,Personal Credit Card
3/16/2014,Allentown,Allentown,Brandywine River Museum,Allentown,Limo,Athletic,No,Large,Existing,No,None,Invoiced
1/13/2013,Erie,Erie,Carnegie Museum of Natural History,None,Town Car,Anniversay,Yes,Small,Existing,No,Maintenance,Cash
10/9/2014,Johnstown,Johnstown,Eastern State Penitentiary,None,Limo,Athletic,Yes,Large,Referral,Yes,Personal,Invoiced
7/5/2014,Harrisburg,Harrisburg,Please Touch Museum,None,Limo,Birthday,Yes,Large,Existing,No,Maintenance,Invoiced
7/3/2013,Bradford,Bradford,The National Civil War Museum,Bradford,Limo Bus,Corporate,No,Medium,Existing,Yes,None,Invoiced
2/28/2015,Monessen,Monessen,Please Touch Museum,Monessen,Town Car,Wedding,No,None,New,Yes,Personal,Invoiced
8/20/2014,Cornerstone Church,Cornerstone Church,Private Residence,Easton,Church Bus,Athletic,No,Large,New,No,None,Check
1/7/2015,"Coatesville Area High School, Coatesville","Coatesville Area High School, Coatesville","Coatesville Area High School, Coatesville",Aliquippa,School Bus,Holiday,No,Large,Existing,Yes,None,Cash
6/6/2013,"Unionville High School, Kennett Square","Unionville High School, Kennett Square","Unionville High School, Kennett Square",Harrisburg,School Bus,Birthday,No,None,Existing,Yes,Accident,Invoiced
12/29/2013,Duquesne,Duquesne,Philadelphia Museum of Art,Duquesne,Van - Full Size,Private,No,Small,New,No,Health Related,Credit
9/27/2015,Allentown,Allentown,Independence Hall,None,Limo Bus,Holiday,Yes,Medium,Referral,No,Personal,Invoiced
4/7/2014,Altoona,Altoona,Dutch Wonderland,None,Propane/Alternative,Anniversay,Yes,Small,New,No,Maintenance,Cash
