CoinIn,Age,Type,Theme,Location,Month,Day,Denomination,Event,Weather,Promotion,Coupons,Holiday,Smoking,Promo,coupons,weather
1783,5,4,9,9,12,6,10,2,14,2,2,2,2,2,6,5
479,1,4,22,6,3,4,2,1,37,2,2,2,1,2,2,22
1502,3,2,14,8,10,3,10,1,18,1,2,2,2,2,3,2
2170,18,2,15,5,11,3,13,1,36,1,1,1,1,6,3,2
367,7,1,7,4,10,4,2,2,26,1,1,2,2,3,6,13
1498,12,4,2,7,1,4,7,2,32,2,1,1,1,3,3,7
1779,7,4,18,8,4,3,5,1,16,1,2,1,2,2,8,29
1286,15,3,22,5,12,5,4,2,18,2,2,1,2,3,7,3
1109,9,1,15,7,11,2,13,2,19,1,1,2,1,3,8,12
248,15,3,12,2,12,3,3,2,37,2,2,1,2,6,9,9
1833,5,4,17,9,2,5,8,2,33,1,2,2,2,3,9,32
1049,2,3,20,4,3,7,10,1,21,2,1,1,1,5,4,25
99,17,4,19,3,4,7,10,2,10,2,1,1,2,4,8,2
1218,3,5,7,1,11,6,9,1,22,1,2,1,2,5,8,23
809,8,5,1,2,2,5,12,2,12,2,2,1,1,3,6,28
1737,4,4,15,8,11,4,9,2,39,1,2,1,1,4,4,30
1409,5,3,18,4,7,5,2,1,6,2,1,2,1,3,9,39
952,5,2,15,9,10,3,6,1,21,1,1,1,2,5,5,18
904,15,1,12,8,10,7,13,1,22,2,1,2,1,5,8,31
457,11,3,14,7,7,6,9,1,38,2,1,2,2,5,4,7
2186,3,1,11,6,1,7,7,2,12,1,1,2,2,6,7,3
1143,1,3,12,6,2,6,12,1,2,2,2,2,2,3,6,10
145,6,3,20,8,12,6,2,2,34,1,1,2,1,6,5,31
1552,14,2,14,4,2,7,14,1,36,1,1,2,2,2,7,30
1384,18,2,22,5,8,6,12,1,37,1,1,1,2,2,3,35
1868,12,3,3,3,4,6,4,1,6,2,2,2,2,4,5,36
1694,3,3,12,3,6,4,5,1,5,2,2,1,2,5,3,15
1601,16,3,4,8,4,3,6,1,24,2,1,1,2,1,7,19
1267,6,5,6,5,3,5,10,1,19,2,1,2,1,2,2,33
1190,20,1,10,6,9,2,9,1,24,1,1,2,2,3,9,35
1925,19,5,6,8,4,2,5,2,24,2,2,1,2,2,7,25
732,14,1,7,3,8,6,6,2,16,1,2,2,2,1,9,8
346,6,4,3,2,2,5,11,2,28,2,2,1,2,2,8,9
900,17,1,20,9,6,2,13,2,28,1,1,2,1,1,7,5
918,6,4,13,5,5,5,7,1,28,2,1,2,1,4,3,39
700,6,4,15,8,7,2,4,2,36,2,1,2,1,4,4,21
472,16,2,3,4,11,6,13,2,37,2,2,1,1,6,4,10
1442,9,4,22,5,5,6,8,1,34,1,1,1,1,3,4,15
922,12,2,22,8,8,6,6,1,35,2,2,1,1,4,9,6
2053,16,5,8,1,9,6,5,2,20,1,2,2,2,4,2,33
1837,19,5,19,8,6,3,14,2,38,2,1,1,2,6,7,14
2134,8,5,19,9,5,4,7,1,33,1,1,2,1,4,9,19
1090,18,4,19,9,3,1,6,2,39,2,1,2,1,6,5,1
463,12,4,11,9,6,3,8,2,16,2,1,2,1,5,5,21
1131,5,4,7,3,10,7,10,1,24,2,2,1,2,3,8,9
493,4,1,3,5,10,3,6,1,16,1,1,1,2,5,4,18
1935,2,1,18,4,11,6,7,1,8,1,1,1,1,6,2,31
717,14,2,20,2,8,7,10,2,20,2,2,1,2,3,2,13
118,13,3,7,6,1,5,7,2,16,1,1,2,1,2,8,23
386,16,2,2,5,6,3,11,2,29,2,1,2,2,3,6,17
647,20,1,15,3,4,1,5,2,40,1,1,2,1,6,8,20
1792,10,5,20,9,12,4,11,1,30,2,2,1,1,1,2,39
570,17,2,6,7,12,2,11,1,17,1,2,1,2,6,5,3
1040,18,4,2,5,4,7,4,1,12,2,1,1,2,2,4,32
1494,19,4,17,4,2,6,13,1,6,2,2,1,2,4,9,15
1243,20,5,1,1,10,2,13,2,22,1,2,2,2,3,4,31
1938,5,4,15,7,9,3,10,2,39,2,1,1,2,4,2,37
1830,13,3,10,4,2,2,6,1,14,2,1,1,2,2,6,38
1189,5,2,19,5,9,4,11,2,26,2,2,1,2,5,6,16
2008,7,5,9,1,3,4,8,2,22,2,2,2,2,3,4,34
305,19,1,4,3,9,3,14,1,22,2,1,1,1,4,6,5
695,6,5,21,1,11,1,3,1,35,1,2,2,1,4,8,20
744,15,2,18,7,3,5,10,1,20,1,1,1,1,3,5,8
813,19,3,11,9,6,5,3,2,33,1,2,2,1,6,7,31
740,3,4,4,3,12,6,13,2,32,2,2,1,1,4,8,38
538,19,5,9,4,6,5,3,2,36,2,1,2,1,3,8,32
171,12,4,17,5,4,4,5,1,38,1,1,2,1,3,9,25
1640,14,3,7,2,11,4,6,2,30,1,1,1,2,2,3,31
33,5,3,4,2,11,3,4,1,36,1,1,1,1,5,6,34
455,14,1,13,9,12,2,3,1,14,1,2,2,2,5,8,31
1295,16,3,11,5,6,2,8,2,12,2,2,1,1,2,2,8
1586,8,4,15,6,8,2,8,2,24,2,1,1,2,3,6,2
305,1,5,13,8,10,6,14,1,28,2,2,2,1,4,5,8
1660,6,3,15,4,4,5,6,1,20,2,2,2,1,6,3,2
917,3,1,16,5,6,4,3,1,32,1,1,2,2,5,7,5
1197,14,4,5,5,1,5,3,1,27,2,2,2,2,4,9,11
916,9,4,22,6,7,3,10,2,12,1,2,1,1,4,2,38
510,20,5,9,9,2,6,11,2,26,2,2,1,2,6,5,23
1110,13,1,3,8,11,7,3,1,3,2,2,2,1,5,7,27
425,2,4,15,2,3,4,8,1,27,1,2,2,1,4,5,23
1998,10,2,21,8,5,4,4,2,7,1,1,1,2,5,7,14
1425,15,1,11,1,7,3,12,2,16,1,1,2,2,6,4,31
1514,9,3,16,8,11,5,3,1,8,2,2,1,2,2,6,7
2174,7,5,19,6,3,2,11,2,5,1,2,2,2,2,9,30
934,17,3,14,3,1,2,6,1,9,1,2,2,1,3,8,22
2186,17,3,12,1,8,7,4,1,13,1,1,2,2,2,7,19
1065,3,3,6,2,5,6,13,1,6,2,2,2,2,4,8,10
190,1,4,11,7,10,5,10,1,5,1,2,2,2,4,4,25
204,14,5,2,9,12,7,13,2,22,1,2,2,2,6,9,2
1284,9,1,21,9,11,7,7,1,18,1,2,2,2,4,5,13
1275,9,1,2,1,11,4,13,2,40,1,1,1,1,2,6,1
1107,4,2,14,9,6,2,5,1,10,2,1,1,2,3,5,10
1667,1,3,8,2,11,4,8,2,38,2,2,1,1,4,6,17
1712,3,4,5,1,3,5,4,2,21,2,2,1,1,2,3,38
1932,10,5,3,2,7,5,13,1,18,2,2,1,2,6,4,37
656,3,5,3,3,3,4,2,1,28,1,1,1,2,4,5,13
65,2,4,21,4,10,6,9,2,33,2,2,1,2,1,8,28
707,20,2,4,3,2,3,3,2,33,2,2,2,2,3,3,31
1536,12,4,1,3,12,1,5,2,24,2,2,1,2,2,6,35
2096,13,2,6,4,1,1,8,1,19,1,1,1,2,4,9,10
1914,8,1,7,9,1,1,5,2,8,2,2,1,2,2,3,23
1494,9,5,3,9,12,2,2,2,25,1,2,1,2,3,4,31
1452,6,4,13,2,10,7,11,1,17,1,1,2,1,3,5,20
1984,13,3,1,3,10,2,9,1,30,2,2,1,2,3,9,36
473,6,3,18,1,7,6,13,2,3,1,2,1,2,2,4,11
1182,13,1,16,3,8,2,4,1,20,1,2,2,2,3,5,31
1135,12,5,15,7,5,1,13,1,30,2,2,2,2,5,6,3
1676,20,1,3,1,8,6,12,2,26,1,2,2,2,6,3,34
1317,12,2,2,5,11,7,13,2,13,1,1,2,1,5,9,39
1015,10,2,4,7,4,2,7,1,7,1,1,2,2,5,2,32
1457,9,1,16,6,10,5,2,1,11,1,2,2,2,6,2,12
2044,9,4,20,9,11,5,10,2,12,1,2,1,1,5,7,12
1104,16,5,9,2,11,6,11,1,14,2,2,2,2,3,9,39
2124,3,2,5,6,7,4,3,1,2,1,1,2,1,5,6,9
527,10,2,21,1,2,4,4,1,39,2,2,1,1,1,4,15
1581,5,3,1,1,1,5,6,2,36,2,2,2,2,5,7,34
719,14,4,12,3,7,6,9,1,27,1,1,2,2,5,6,3
242,13,2,16,7,10,3,2,1,32,2,2,2,2,2,2,15
2089,11,1,20,4,2,5,12,2,33,1,2,2,1,1,7,19
905,19,3,6,3,12,1,10,1,29,2,2,2,2,4,7,14
236,16,5,10,9,4,1,9,2,11,1,1,2,2,3,9,13
1783,16,3,9,4,2,4,3,1,7,1,1,2,1,4,2,22
2102,16,5,20,5,10,6,8,1,14,1,2,2,1,3,5,33
1227,6,1,1,7,12,2,11,1,31,1,2,1,1,5,5,35
2096,12,2,14,4,11,2,5,1,31,2,1,1,1,2,6,18
1830,1,4,1,5,10,6,11,1,10,2,2,2,2,3,3,14
703,5,2,16,2,12,7,13,2,15,1,1,1,1,2,9,6
1191,13,4,11,5,5,3,3,1,30,1,2,1,1,6,5,10
2190,6,2,7,1,11,6,8,2,30,1,1,1,1,1,6,10
897,17,1,17,7,11,4,6,1,16,1,1,1,2,1,7,11
955,3,2,7,7,7,3,7,2,36,2,2,2,2,6,8,39
1672,7,1,4,4,9,5,3,2,15,2,2,1,2,6,6,19
273,8,2,17,2,4,2,13,1,31,2,2,1,1,6,9,14
4,11,3,7,3,10,5,11,2,33,1,1,2,1,3,3,18
412,18,2,19,4,3,3,11,2,30,1,1,2,1,6,7,1
1098,10,4,18,1,5,3,11,1,6,1,2,2,2,2,4,36
946,17,5,20,2,9,6,14,1,38,1,1,2,1,6,7,4
426,6,1,1,2,2,1,12,1,29,2,2,1,2,3,5,39
202,1,1,8,5,10,5,7,2,4,1,2,2,1,2,7,4
718,14,4,4,3,7,5,2,2,31,2,2,1,1,3,2,24
309,17,3,12,7,2,1,11,2,9,2,1,1,2,1,5,1
2115,15,5,3,3,11,5,8,2,29,1,2,1,2,3,3,5
1970,18,5,21,8,1,7,7,1,5,2,2,1,1,1,4,30
1809,15,1,12,5,11,2,13,1,39,1,2,1,1,4,5,7
1326,8,4,18,8,2,7,3,1,27,1,1,1,1,4,6,1
465,7,3,4,8,4,5,2,2,12,1,2,2,1,6,8,11
349,20,2,5,8,8,3,2,2,3,1,2,1,1,4,5,16
985,15,1,3,2,12,6,9,1,5,1,1,2,1,2,8,35
1522,8,1,6,3,11,6,13,2,1,2,1,2,2,5,3,6
2163,8,1,7,9,10,3,5,1,1,2,1,2,1,4,2,7
2186,8,3,12,1,11,3,3,2,24,1,1,1,1,1,3,17
1095,18,1,7,3,10,6,14,1,31,1,2,2,1,5,3,2
612,9,2,7,8,1,7,4,1,32,1,2,2,1,4,7,21
2111,1,5,4,8,4,2,5,2,29,1,1,2,1,4,6,31
1403,12,2,12,2,2,1,9,1,29,2,2,1,2,2,2,24
109,12,3,10,6,7,2,4,1,33,1,1,1,2,1,3,31
1911,11,4,12,9,3,5,3,1,36,1,2,1,1,1,3,39
528,5,1,4,2,12,7,9,1,23,2,1,2,1,5,8,36
511,5,1,16,3,1,7,3,2,20,1,2,2,2,2,7,30
2128,7,4,7,6,10,4,2,2,32,2,2,2,2,2,3,31
2163,19,4,5,6,12,5,8,2,26,1,2,2,2,6,2,7
1170,12,3,14,3,9,3,11,1,40,1,1,1,2,2,6,21
580,12,2,13,5,7,4,13,1,2,2,1,2,1,6,8,13
1779,11,2,2,2,12,6,11,1,27,1,2,1,2,2,8,7
251,20,3,16,9,5,6,5,2,10,2,2,1,1,2,9,32
1564,20,5,8,8,10,7,8,2,31,2,1,1,2,3,9,2
1100,5,3,6,7,6,1,11,1,30,2,2,2,2,4,4,5
261,15,4,3,5,5,6,14,2,8,1,2,1,2,3,5,30
1130,15,4,14,8,3,1,2,1,28,1,2,1,1,5,2,37
1373,15,3,8,7,2,4,10,2,7,2,2,2,2,5,8,23
669,12,5,19,5,3,3,3,1,2,2,1,1,1,1,9,15
1762,10,4,14,3,1,5,6,2,37,2,1,2,1,3,4,30
725,16,1,21,2,10,4,11,2,13,1,1,2,1,3,9,14
1910,18,2,19,9,9,6,11,1,34,1,2,1,2,5,3,2
1423,10,2,11,7,6,5,12,2,22,1,1,2,2,6,9,1
1945,20,5,22,5,2,1,8,1,9,1,2,2,1,3,7,6
2090,8,2,16,5,6,7,8,1,15,1,1,2,1,3,4,13
1992,8,4,5,3,7,7,6,2,7,2,1,1,2,2,9,5
1323,14,2,14,3,8,1,2,2,28,1,1,1,2,4,9,20
1981,2,2,7,7,11,7,14,2,23,2,1,1,1,2,7,21
1492,8,2,1,7,9,7,6,1,24,1,1,1,1,4,8,27
206,17,5,8,5,2,1,5,1,34,2,2,1,1,4,4,25
2117,5,4,11,2,11,7,4,2,18,2,1,1,1,3,5,17
241,18,1,21,3,8,4,14,2,25,1,1,2,2,3,2,37
1227,14,1,17,7,8,2,7,2,19,1,1,1,1,2,4,15
1253,5,3,11,4,3,3,2,1,37,2,2,1,1,3,6,18
1457,20,2,17,5,8,2,3,1,1,1,2,2,2,5,3,15
2022,2,5,8,1,9,4,2,2,2,2,1,1,1,3,8,29
180,3,2,4,7,4,7,6,2,28,2,1,2,1,6,8,32
1579,8,3,8,5,5,2,2,2,25,1,2,1,1,1,7,35
1234,12,5,16,5,3,4,13,2,38,1,1,2,2,2,7,4
1724,14,5,5,5,10,4,11,1,15,1,1,1,2,4,4,13
1233,1,1,15,8,4,6,5,2,1,1,2,1,2,1,9,11
1548,16,5,4,3,3,2,3,1,30,1,1,2,1,3,7,8
610,17,2,21,5,5,7,5,2,14,2,1,2,2,5,8,38
1441,9,1,6,3,10,7,10,2,3,2,1,2,2,6,9,20
400,4,4,11,2,11,6,11,1,40,2,1,1,2,5,2,2
1158,14,2,18,3,8,1,6,2,6,1,1,1,1,2,5,19
1881,20,1,7,4,10,5,2,2,5,2,1,2,2,4,6,25
2142,10,5,21,1,8,5,14,2,17,1,1,2,2,4,5,36
1965,15,3,4,4,12,3,2,2,15,2,1,1,1,2,9,27
2116,16,4,2,5,4,6,7,1,31,1,1,1,2,5,6,21
1253,12,2,13,3,3,4,6,1,22,2,2,2,2,1,2,37
1771,18,3,6,2,7,3,13,1,17,2,1,2,1,3,9,4
2043,3,2,16,1,5,7,13,1,14,2,1,2,2,2,3,20
2167,8,5,7,2,6,2,4,2,21,1,1,1,1,6,7,34
2196,17,2,17,7,10,1,7,1,22,2,1,2,1,5,3,11
2106,17,4,5,7,9,7,13,2,24,1,2,2,1,2,5,22
1144,10,5,16,9,3,4,12,1,10,2,2,1,2,2,5,13
2077,15,4,1,2,9,7,10,2,6,1,1,2,2,5,2,2
1783,12,3,12,3,12,7,3,1,4,2,1,2,2,3,6,22
1841,11,1,3,6,4,2,14,2,34,2,2,1,1,3,7,31
1388,5,3,19,3,8,6,13,1,8,2,2,1,1,2,3,22
839,20,5,4,1,1,4,6,2,26,1,1,1,1,6,3,25
286,19,5,22,2,3,1,8,1,24,2,2,2,2,3,3,29
942,17,5,16,8,7,5,10,2,14,2,1,1,1,5,4,25
1745,20,1,15,2,9,7,12,1,11,1,1,2,1,2,5,12
579,20,2,4,7,2,3,9,2,12,1,2,1,1,2,6,25
570,9,1,11,2,10,3,12,1,34,2,2,1,1,1,8,29
907,15,1,6,6,11,5,10,1,17,1,1,2,1,1,7,30
206,6,1,10,7,2,3,14,2,15,1,1,2,1,3,7,17
347,2,1,6,4,11,6,4,1,20,2,2,1,2,5,8,16
1428,9,2,14,2,11,2,7,1,8,2,2,2,2,4,6,28
1155,15,3,19,7,12,1,13,1,9,2,1,1,2,3,3,38
814,1,1,18,2,4,1,9,2,10,2,1,2,1,2,9,13
576,12,1,12,6,11,1,4,2,27,1,2,2,2,5,8,15
1460,16,2,3,3,12,1,2,2,36,2,2,1,1,1,2,31
1061,18,4,9,4,12,1,11,1,35,2,2,1,2,3,5,27
778,11,1,12,7,10,1,9,1,24,2,1,1,1,2,2,38
1454,4,4,8,4,8,1,5,1,28,1,2,1,2,5,9,15
2123,17,2,3,4,1,7,9,2,9,2,2,2,2,3,7,20
1425,1,5,4,7,9,4,14,1,24,1,1,1,1,6,4,11
556,20,4,11,8,1,1,14,1,8,2,1,2,2,1,9,9
771,2,1,3,1,6,7,10,1,26,2,2,1,1,2,2,31
419,4,3,5,4,11,6,11,2,38,1,2,2,2,5,7,12
1747,13,4,5,7,9,3,9,2,17,1,1,1,1,3,7,12
1299,18,5,14,3,10,2,13,2,40,2,1,1,1,2,8,8
1473,2,3,9,7,3,5,11,1,30,1,2,2,1,4,4,27
1457,12,5,15,5,7,3,14,1,38,2,2,1,2,5,6,26
1950,12,1,14,8,12,6,2,2,22,1,2,2,1,2,7,26
719,8,1,20,7,5,4,14,1,39,1,1,2,1,3,8,22
1531,11,5,15,1,4,4,3,2,26,2,2,2,2,3,7,10
1546,6,3,16,6,11,5,2,1,11,1,2,1,1,5,2,19
355,14,1,11,7,11,1,12,2,25,1,1,1,1,4,6,25
1740,6,1,8,3,2,7,7,1,9,2,2,1,1,4,4,32
1951,2,1,3,8,2,7,4,2,10,2,1,1,1,4,3,30
1435,20,2,3,6,6,7,10,1,5,1,2,2,1,5,4,3
1956,3,3,1,3,9,5,13,2,11,1,1,2,1,1,6,5
1219,20,1,18,6,11,4,4,1,19,1,1,2,1,2,7,30
308,7,1,1,8,3,1,6,1,26,1,2,2,2,6,8,4
725,17,3,4,6,9,6,5,2,39,2,1,2,1,1,2,22
1766,2,1,21,2,8,3,5,2,33,2,2,2,1,5,3,25
253,8,5,16,5,3,6,7,2,26,2,2,1,1,6,5,20
201,11,4,6,9,12,6,6,2,12,2,2,2,1,6,2,6
90,15,3,5,8,2,4,7,1,24,2,2,2,2,4,8,26
420,8,5,15,5,1,2,4,2,27,1,2,1,2,1,7,19
1292,10,4,3,5,7,6,9,1,40,2,2,1,1,6,4,28
748,9,5,7,8,7,6,6,1,24,1,2,1,1,6,3,37
2137,13,5,19,5,8,2,4,1,23,1,1,2,2,6,9,2
2019,13,3,15,8,12,6,14,1,7,1,1,1,1,3,7,6
2014,3,4,16,2,5,2,14,2,24,1,1,2,2,4,3,32
601,9,3,22,4,10,4,14,2,21,2,2,1,2,3,3,38
323,4,1,14,1,1,7,9,1,39,2,1,2,1,3,7,28
1395,8,5,13,3,2,7,4,1,18,2,2,1,2,3,7,5
2142,4,4,20,5,10,1,7,2,32,2,1,2,1,2,2,19
708,12,3,16,5,12,4,2,2,34,2,2,2,2,5,9,19
432,14,2,11,4,4,5,7,2,8,2,2,2,1,2,7,38
686,3,2,10,8,5,3,4,1,10,2,1,1,1,2,5,3
1382,10,4,18,1,7,3,14,2,32,1,1,1,2,4,6,8
72,11,1,6,8,10,2,5,2,30,2,1,2,1,1,2,2
1455,12,1,20,3,8,3,7,2,5,2,1,2,1,3,9,2
1229,9,5,18,1,5,7,4,2,23,2,1,1,2,2,3,35
1660,14,3,18,7,9,5,2,1,31,1,1,1,1,1,8,36
1060,19,4,12,9,11,7,6,2,27,2,2,2,1,4,8,6
1156,19,3,2,2,9,7,14,1,40,2,1,2,1,3,8,6
1297,20,4,14,7,2,7,6,1,16,1,1,2,1,1,6,39
214,11,1,20,5,1,5,2,2,33,1,1,2,1,4,7,33
1898,3,2,18,9,4,7,14,2,18,1,2,2,2,4,3,7
1317,19,4,21,4,11,2,9,1,27,2,2,2,1,5,9,15
1829,1,5,20,7,9,4,9,1,39,2,2,2,1,6,2,34
673,15,3,19,6,9,7,2,2,1,2,2,2,1,1,5,15
1875,13,3,12,6,2,1,7,2,37,2,2,2,2,3,2,22
1473,8,1,19,9,7,5,12,1,40,2,1,2,2,3,2,11
1720,6,1,12,1,10,3,8,1,6,2,2,1,2,6,7,4
1276,13,5,8,6,7,5,6,2,24,1,1,2,1,2,5,10
239,10,5,9,6,10,4,10,2,25,2,2,1,1,6,5,18
330,10,1,12,5,2,6,3,1,33,2,2,1,1,2,7,27
460,4,1,4,1,10,4,14,2,22,2,1,2,1,5,6,13
1864,7,3,5,6,11,1,3,2,28,1,1,2,2,5,5,31
1983,14,5,18,8,6,6,13,2,20,2,1,1,1,1,2,37
1819,2,3,1,6,9,3,2,1,14,1,1,1,1,5,4,36
1989,20,3,13,3,6,4,2,1,8,2,2,1,2,3,9,11
1534,19,4,5,3,6,4,6,1,4,2,1,2,2,1,5,35
1136,13,5,21,5,4,2,2,2,11,1,2,2,2,3,3,15
430,5,3,9,2,9,1,2,1,16,2,2,1,1,5,7,32
123,20,5,7,2,9,3,10,1,7,1,2,2,1,1,2,24
1187,4,4,22,9,4,5,6,1,31,1,1,2,1,1,6,26
337,17,2,5,4,2,7,7,1,40,2,1,2,2,2,7,33
493,11,1,22,8,6,4,2,1,26,1,2,1,1,6,4,15
1147,9,2,17,7,4,5,14,2,13,1,2,1,1,4,7,3
