Major,Location,Residence,Scholarship,Sex,Status,Type,Enrollment Age,Marital Status,Enrollment Date,Sponsor,Credits Attempted,Credits Completed,Credits Dropped, Current GPA,Average GPA,Number of Sports,Intermural Participant,Number of Clubs,Expected Graduation Date,Class o f,Actual Graduation Date,Comments,Age,Is Underage Drinking OK,Has Drank O nCampus,Number of Drinks Per Week,Has been intoxicated,Has Purchased Alcohol
Business Management Marketing and Related Support Services,New Jersey,On-Campus Dorm,None,Female,FT,All,18,M,2000,,55,17,31,2.4,2.4,2,1,2,2004,4,2006,,18,UnSure,,3,Yes,
Business Management Marketing and Related Support Services,Nebraska,Off-Campus Other,University,Male,FT,RA,23,M,1990,,40,17,10,1,1.2,0,1,0,1994,94,1994,if you need additional information,24,Yes,no,3,No comment,Yes
Communication Journalism and Related Programs,California,On-Campus University Housing,None,Male,PT,Non-Athlete,20,S,2001,,59,13,13,2,3.6,0,2,4,2005,5,2005,,21,UnSure,Yes,2,No comment,No comment
Business Management Marketing and Related Support Services,Wisconsin,On-Campus University Housing,Other,Male,FT,All,23,S,1993,,37,16,6,1,,3,1,2,1997,97,2000,works independently and effectively,23,Yes,No comment,2,Yes,No comment
Education,American,Commuter,Other,Male,FT,Non-Athlete,20,M,1994,,144,33,1,3.3,3.1,2,1,3,1998,98,2000,her sensitivity and concern for others,20,Yes,,2,No comment,
Agriculture- Agriculture Operations- and Related Sciences,Mississippi,Off-Campus University Housing,None,Male,PT,Athelete,24,M,1996,,58,51,3,3.5,3.1,0,2,0,2000,0,2003,,24,Yes,Yes,2,Yes,Yes
Foreign Languages Literatures and Linguistics,Colorado,Off-Campus University Housing,None,Female,FT,All,20,M,2000,,24,8,7,2.5,3.2,1,1,2,2004,4,2005,has always proved satisfactory,20,Yes,,3,No comment,
Health Professions and Related Programs,Massachusetts,Commuter,University,Female,PT,Athelete,23,S,1995,,34,14,11,1.9,3.4,4,1,2,1999,99,2000,is a pleasure to recommend,25,UnSure,No comment,3,no,Yes
Health Professions and Related Programs,Massachusetts,Off-Campus Other,Private,Male,FT,Athelete,21,S,1994,,95,81,7,3.8,4,2,1,1,1998,98,1998,,21,Yes,Yes,3,Yes,no
Communication Journalism and Related Programs,Guam,Off-Campus Other,None,Female,FT,Non-Athlete,23,S,1996,,125,57,57,3.4,3,1,1,4,2000,0,2001,,24,Yes,Yes,3,Yes,no
Education,Delaware,Off-Campus University Housing,University,Female,PT,Non-Athlete,20,S,1987,,110,109,0,1,2.4,1,1,0,1991,91,1993,,24,Yes,Yes,2,Yes,no
Biological and Biomedical Sciences,Oklahoma,Off-Campus University Housing,Private,Male,FT,Non-Athlete,17,M,1987,,145,9,15,3.3,3.1,1,2,0,1991,91,1994,,20,Yes,,3,No comment,
Aviation,Hawaii,On-Campus University Housing,All Scholarship Types,Male,PT,Athelete,21,S,1988,,52,17,22,2.1,4,0,2,3,1992,92,1993,,21,Yes,Yes,1,Yes,no
Foreign Languages Literatures and Linguistics,New Jersey,Commuter,All Scholarship Types,Female,FT,Athelete,18,M,1998,,124,113,4,3.7,3.9,0,2,2,2002,2,2004,,20,UnSure,,2,Yes,
English Language and Literature/letters,Mississippi,On-Campus University Housing,Private,Female,FT,RA,25,M,2003,,34,10,6,3.1,2.4,4,2,2,2007,7,2008,,27,UnSure,No comment,2,no,No comment
Construction Trades,Hawaii,On-Campus University Housing,Other,Male,FT,All,23,M,1988,,83,28,21,1,2.5,3,1,1,1992,92,1996,,23,UnSure,Yes,2,Yes,no
Area- Ethnic- Cultural- Gender- and Group Studies,Arkansas,On-Campus Dorm,None,Male,FT,All,20,M,1990,,114,87,9,1,3.1,3,2,4,1994,94,1994,has always proved satisfactory,20,UnSure,,1,Yes,
Computer and Information Sciences and Support Services,Micronesia,Off-Campus Other,All Scholarship Types,Male,PT,Non-Athlete,25,S,2003,,16,3,3,3.1,2.1,0,1,1,2007,7,2010,his qualifications and performance,25,Yes,No comment,3,Yes,No comment
Family and Consumer Sciences/human Sciences,Tennessee,On-Campus Dorm,None,Male,FT,Non-Athlete,20,M,2004,,111,10,44,1.5,1.3,1,2,4,2008,8,2012,is intelligent and ambitious,22,Yes,no,1,Yes,no
Architecture and Related Services,Ohio,On-Campus University Housing,Private,Male,PT,Athelete,17,S,1989,,115,37,36,1.2,3.5,1,1,4,1993,93,1996,,18,Yes,,1,Yes,
Multi/interdisciplinary Studies,Hawaii,On-Campus Dorm,University,Female,FT,RA,21,S,1987,,125,51,68,3.6,2,1,2,1,1991,91,1995,,22,Yes,no,1,Yes,Yes
Biological and Biomedical Sciences,New Jersey,On-Campus University Housing,All Scholarship Types,Male,PT,All,18,M,1989,,98,96,0,3.6,2.4,3,1,3,1993,93,1993,,22,UnSure,no,2,Yes,no
Business Management Marketing and Related Support Services,All Locations,On-Campus Dorm,Private,Female,PT,RA,21,M,1995,,89,54,10,2.1,1.7,4,1,0,1999,99,2001,,24,UnSure,Yes,1,Yes,Yes
Family and Consumer Sciences/human Sciences,New Jersey,Commuter,All Scholarship Types,Female,PT,All,19,M,1991,,35,11,12,2.4,2.1,4,1,4,1995,95,1999,have admiration and respect for,23,Yes,no,2,no,No comment
Aviation,American,On-Campus Dorm,All Scholarship Types,Male,FT,RA,22,S,1985,,143,105,33,1.7,3.2,4,2,4,1989,89,1989,,25,Yes,No comment,2,Yes,No comment
Computer and Information Sciences and Support Services,Dist. of Columbia,On-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,17,S,1985,,101,93,5,4,1.3,0,2,3,1989,89,1991,if you have further questions,19,UnSure,,3,Yes,
Biological and Biomedical Sciences,Indiana,On-Campus Dorm,Private,Female,FT,Non-Athlete,17,M,1990,,24,7,3,1.2,2.9,3,2,1,1994,94,1998,is innovative and creative,18,UnSure,,3,No comment,
Foreign Languages Literatures and Linguistics,Georgia,Off-Campus University Housing,Private,Male,PT,Athelete,22,M,1997,,47,37,1,1.4,3.8,4,2,4,2001,1,2002,,24,UnSure,Yes,2,Yes,No comment
Aviation,All Locations,Off-Campus Other,University,Female,FT,RA,24,M,1992,,127,102,24,1.7,2.8,1,2,4,1996,96,2000,understands/utilizes,28,Yes,Yes,3,no,No comment
Communications Technologies/technicians and Support Services,Kansas,Off-Campus University Housing,None,Female,FT,RA,23,M,1985,,76,27,8,2.3,3.1,3,1,0,1989,89,1989,hope this information proves helpful,27,Yes,No comment,1,Yes,no
History,Alabama,Commuter,University,Female,PT,All,21,S,2004,,20,16,2,2.9,2.5,2,1,4,2008,8,2011,,25,Yes,Yes,2,Yes,Yes
All Majors,Virgin Islands,Off-Campus Other,Other,Male,FT,RA,20,S,2002,,9,6,2,3.1,1.7,2,1,2,2006,6,2008,,22,Yes,no,2,Yes,No comment
Undeclared,Illinois,Commuter,Other,Male,FT,RA,21,S,1987,,112,46,31,1.4,2.2,3,1,3,1991,91,1992,am pleased to comment on,24,UnSure,Yes,1,Yes,Yes
Communications Technologies/technicians and Support Services,Oklahoma,Commuter,All Scholarship Types,Female,PT,Athelete,19,M,1987,,134,40,14,1.9,4,4,1,2,1991,91,1992,,20,UnSure,,1,no,
Business Management Marketing and Related Support Services,Rhode Island,On-Campus Dorm,Private,Female,PT,Athelete,24,S,2003,,88,32,49,3.9,3.9,2,1,4,2007,7,2011,,27,UnSure,Yes,1,No comment,Yes
Legal Professions and Studies,Alabama,Off-Campus Other,Other,Male,FT,Non-Athlete,19,S,1986,,12,11,1,3.9,1.1,0,2,3,1990,90,1993,,19,Yes,,2,Yes,
Education,Rhode Island,Commuter,All Scholarship Types,Female,PT,All,22,S,1987,,131,56,6,1.2,2.7,1,2,2,1991,91,1991,,23,UnSure,no,1,No comment,No comment
Foreign Languages Literatures and Linguistics,Nevada,Off-Campus University Housing,All Scholarship Types,Female,PT,All,22,S,2003,,36,27,9,3,2.8,0,1,1,2007,7,2007,,23,Yes,Yes,1,no,Yes
Military Technologies and Applied Sciences,Vermont,Off-Campus Other,All Scholarship Types,Male,PT,All,22,S,1999,,134,87,31,,2.8,3,2,1,2003,3,2005,,23,Yes,no,3,No comment,no
Business Management Marketing and Related Support Services,Arizona,Commuter,All Scholarship Types,Female,FT,RA,23,S,1987,,67,59,0,3.1,,2,1,1,1991,91,1991,,26,Yes,No comment,1,Yes,no
Foreign Languages Literatures and Linguistics,New Mexico,On-Campus Dorm,All Scholarship Types,Female,FT,Athelete,18,M,1994,,88,58,2,1,3.5,1,2,3,1998,98,2000,will be successful in any enterprise he undertakes,18,UnSure,,3,No comment,
Multi/interdisciplinary Studies,Marshall Islands,Commuter,None,Male,FT,Non-Athlete,18,M,1994,,42,35,1,3,2.2,2,2,4,1998,98,1998,,20,Yes,,3,Yes,
Aviation,Tennessee,On-Campus University Housing,All Scholarship Types,Female,FT,Non-Athlete,24,S,2003,,135,67,43,3.2,2.9,3,2,0,2007,7,2011,,28,UnSure,no,2,No comment,Yes
Aviation,Guam,Off-Campus Other,All Scholarship Types,Male,FT,RA,23,M,2005,,63,42,10,1.8,3.6,4,1,4,2009,9,2009,,27,Yes,no,1,Yes,no
Agriculture- Agriculture Operations- and Related Sciences,Louisiana,Off-Campus Other,Private,Female,FT,RA,21,M,2002,,30,20,9,3.9,1.8,1,1,0,2006,6,2007,if you would like more information,24,Yes,no,2,Yes,no
Engineering Technologies and Engineering-Related Fields,Oklahoma,Commuter,University,Female,FT,Non-Athlete,21,M,1991,,36,21,11,1,,1,1,2,1995,95,1996,,25,Yes,no,1,no,No comment
Homeland Security- Law Enforcement- Firefighting,Louisiana,On-Campus Dorm,Other,Male,FT,Athelete,24,S,2000,,148,36,91,1.7,3.6,3,2,2,2004,4,2006,,28,Yes,Yes,1,No comment,No comment
Communications Technologies/technicians and Support Services,Massachusetts,Off-Campus Other,University,Male,FT,Non-Athlete,21,S,1990,,28,27,1,1.7,3.7,1,2,3,1994,94,1997,can offer only the highest recommendation for,24,Yes,Yes,3,No comment,no
History,Hawaii,Commuter,All Scholarship Types,Male,PT,Non-Athlete,19,M,2004,,121,41,62,3.7,3.3,0,1,2,2008,8,2009,has worked directly under my supervision,21,Yes,No comment,1,Yes,Yes
Foreign Languages Literatures and Linguistics,Nebraska,Commuter,All Scholarship Types,Female,FT,All,18,S,1999,,44,43,1,0.75,1.6,1,2,3,2003,3,2004,keeps calm under pressure,22,Yes,no,3,Yes,No comment
Biological and Biomedical Sciences,Rhode Island,On-Campus University Housing,University,Male,FT,All,22,S,1993,,149,23,17,2.9,2.6,0,2,3,1997,97,1998,would be an asset to your program,25,Yes,no,3,No comment,Yes
Military Technologies and Applied Sciences,North Dakota,On-Campus Dorm,All Scholarship Types,Male,FT,Non-Athlete,18,M,1988,,124,44,46,2.4,1.6,0,1,0,1992,92,1993,wide-range knowledge of,18,Yes,,1,Yes,
Computer and Information Sciences and Support Services,Utah,Commuter,Private,Male,FT,Athelete,23,S,2001,,128,87,10,2,,0,1,2,2005,5,2006,,27,UnSure,no,1,Yes,no
Military Technologies and Applied Sciences,Delaware,Commuter,None,Female,PT,Non-Athlete,25,M,2005,,89,44,19,2.2,3.4,2,1,3,2009,9,2011,,25,UnSure,no,1,No comment,Yes
Multi/interdisciplinary Studies,South Carolina,On-Campus Dorm,All Scholarship Types,Male,PT,Non-Athlete,18,M,2001,,33,33,0,1.4,,2,2,1,2005,5,2006,,21,Yes,No comment,3,Yes,Yes
Homeland Security- Law Enforcement- Firefighting,Wyoming,Off-Campus University Housing,All Scholarship Types,Female,FT,RA,17,M,1987,,126,57,55,3.7,2.1,1,1,4,1991,91,1995,,18,UnSure,,2,No comment,
Military Technologies and Applied Sciences,New Mexico,Commuter,Other,Female,FT,Non-Athlete,19,S,1994,,112,37,60,3.3,3.9,1,1,4,1998,98,2002,would be a valuable addition to any organization,20,Yes,,2,No comment,
History,Missouri,Commuter,None,Female,PT,Athelete,24,S,1998,,53,45,3,2.7,3.6,4,1,1,2002,2,2005,,25,Yes,Yes,2,no,Yes
